Capability L1,L1 Description/Definition,Capability L2,L2 Description/Definition,Capability L3,L3 Description/Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,"The Planning capability is concerned with the creation of the organisational vision, mission and strategic objectives and the necessary  strategic and operational plans to achieve the desired strategic direction. ",Business Planning,"Once a common understanding on purpose, vision, goals has been agreed upon,
emphasis has to be put on the specific business objectives for each DG to best serve the EP Administration's common strategies. This is the
time to come to the definition objectives and of an adequate portfolio of projects which will enable the DG to provide new products and new processes while stopping out-dated functions. The DG's strategic programmes and projects to be incorporated into the Parliamentary Project Portfolio are adequately defined, with precise scope, timing, resources, demands for
cooperation, accountability. Furthermore, all activities related to operational planning should be included in order to ensure the link between long-term, annual and tactical plans. ",Alignment Planning,"Manage updates to the annual work programme to reflect changes in the IT strategy. NOT an EA TASK, what ENAR is doing is provide inputs, S&I has the full ownership on the document and its changes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,"The Planning capability is concerned with the creation of the organisational vision, mission and strategic objectives and the necessary  strategic and operational plans to achieve the desired strategic direction. ",Business Planning,"Once a common understanding on purpose, vision, goals has been agreed upon,
emphasis has to be put on the specific business objectives for each DG to best serve the EP Administration's common strategies. This is the
time to come to the definition objectives and of an adequate portfolio of projects which will enable the DG to provide new products and new processes while stopping out-dated functions. The DG's strategic programmes and projects to be incorporated into the Parliamentary Project Portfolio are adequately defined, with precise scope, timing, resources, demands for
cooperation, accountability. Furthermore, all activities related to operational planning should be included in order to ensure the link between long-term, annual and tactical plans. ",Annual Work Programme Communication,"Communicate the AWP and its implications to stakeholders. . NOT  an EA TASK, what ENAR does is to use the plan to define EA artefacts (vision, programme)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,"The Planning capability is concerned with the creation of the organisational vision, mission and strategic objectives and the necessary  strategic and operational plans to achieve the desired strategic direction. ",Business Planning,"Once a common understanding on purpose, vision, goals has been agreed upon,
emphasis has to be put on the specific business objectives for each DG to best serve the EP Administration's common strategies. This is the
time to come to the definition objectives and of an adequate portfolio of projects which will enable the DG to provide new products and new processes while stopping out-dated functions. The DG's strategic programmes and projects to be incorporated into the Parliamentary Project Portfolio are adequately defined, with precise scope, timing, resources, demands for
cooperation, accountability. Furthermore, all activities related to operational planning should be included in order to ensure the link between long-term, annual and tactical plans. ",Annual Work Programme Development,"Formulate, review, revise, canvass support for, finalize, and get approved the annual work programme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,"The Planning capability is concerned with the creation of the organisational vision, mission and strategic objectives and the necessary  strategic and operational plans to achieve the desired strategic direction. ",Business Planning,"Once a common understanding on purpose, vision, goals has been agreed upon,
emphasis has to be put on the specific business objectives for each DG to best serve the EP Administration's common strategies. This is the
time to come to the definition objectives and of an adequate portfolio of projects which will enable the DG to provide new products and new processes while stopping out-dated functions. The DG's strategic programmes and projects to be incorporated into the Parliamentary Project Portfolio are adequately defined, with precise scope, timing, resources, demands for
cooperation, accountability. Furthermore, all activities related to operational planning should be included in order to ensure the link between long-term, annual and tactical plans. ",AWP Objectives,"
Define IT objectives, including those relating to ongoing operational needs, new initiatives,

and opportunities that the EP wishes to pursue.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,"The Planning capability is concerned with the creation of the organisational vision, mission and strategic objectives and the necessary  strategic and operational plans to achieve the desired strategic direction. ",Business Planning,"Once a common understanding on purpose, vision, goals has been agreed upon,
emphasis has to be put on the specific business objectives for each DG to best serve the EP Administration's common strategies. This is the
time to come to the definition objectives and of an adequate portfolio of projects which will enable the DG to provide new products and new processes while stopping out-dated functions. The DG's strategic programmes and projects to be incorporated into the Parliamentary Project Portfolio are adequately defined, with precise scope, timing, resources, demands for
cooperation, accountability. Furthermore, all activities related to operational planning should be included in order to ensure the link between long-term, annual and tactical plans. ",AWP Review and Control,"Monitor planned against actual performance, so that the plan can be adapted appropriately as business priorities change. ENAR only provides its inputs in the review process.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,"The Planning capability is concerned with the creation of the organisational vision, mission and strategic objectives and the necessary  strategic and operational plans to achieve the desired strategic direction. ",Business Planning,"Once a common understanding on purpose, vision, goals has been agreed upon,
emphasis has to be put on the specific business objectives for each DG to best serve the EP Administration's common strategies. This is the
time to come to the definition objectives and of an adequate portfolio of projects which will enable the DG to provide new products and new processes while stopping out-dated functions. The DG's strategic programmes and projects to be incorporated into the Parliamentary Project Portfolio are adequately defined, with precise scope, timing, resources, demands for
cooperation, accountability. Furthermore, all activities related to operational planning should be included in order to ensure the link between long-term, annual and tactical plans. ",Ongoing Operational Commitments,"Determine the financial and other resources in the organization, and the extent to which they are already committed to ongoing contracts and obligations or are available to be deployed on new activities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,"The Planning capability is concerned with the creation of the organisational vision, mission and strategic objectives and the necessary  strategic and operational plans to achieve the desired strategic direction. ",Business Planning,"Once a common understanding on purpose, vision, goals has been agreed upon,
emphasis has to be put on the specific business objectives for each DG to best serve the EP Administration's common strategies. This is the
time to come to the definition objectives and of an adequate portfolio of projects which will enable the DG to provide new products and new processes while stopping out-dated functions. The DG's strategic programmes and projects to be incorporated into the Parliamentary Project Portfolio are adequately defined, with precise scope, timing, resources, demands for
cooperation, accountability. Furthermore, all activities related to operational planning should be included in order to ensure the link between long-term, annual and tactical plans. ",Planning Assumptions,"
Document the scope and provenance of the assumptions and estimates that underlie the AWS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,"The Planning capability is concerned with the creation of the organisational vision, mission and strategic objectives and the necessary  strategic and operational plans to achieve the desired strategic direction. ",Business Planning,"Once a common understanding on purpose, vision, goals has been agreed upon,
emphasis has to be put on the specific business objectives for each DG to best serve the EP Administration's common strategies. This is the
time to come to the definition objectives and of an adequate portfolio of projects which will enable the DG to provide new products and new processes while stopping out-dated functions. The DG's strategic programmes and projects to be incorporated into the Parliamentary Project Portfolio are adequately defined, with precise scope, timing, resources, demands for
cooperation, accountability. Furthermore, all activities related to operational planning should be included in order to ensure the link between long-term, annual and tactical plans. ",Roles and Responsibilities,"Select employees with the experience, knowledge, and authority needed to represent the
interests of stakeholders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,"The Planning capability is concerned with the creation of the organisational vision, mission and strategic objectives and the necessary  strategic and operational plans to achieve the desired strategic direction. ",Organization Design and Planning,"The Organization Design and Planning (ODP) capability aims to organize the IT and Printing/Publishing function of the EP by establishing lines of authority, defining roles and functions, and specifying their interrelationships so that IT employees can collectively deliver the objectives of DG ITEC. ",ITEC Organization Monitoring,Monitor the effectiveness of the IT function’s organization design.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,"The Planning capability is concerned with the creation of the organisational vision, mission and strategic objectives and the necessary  strategic and operational plans to achieve the desired strategic direction. ",Strategic Planning,"The Strategic Planning capability is the ability to:
 
1. Debate and agree at managerial level on the specific ideation, nature and vision of the DG as a specific contributor to the EP Administration's common general purpose, goals and strategies. ""What does this common purpose, identity and intention mean for us? How does it challenge us to change?"" 
 
2. Define the strategic goals of the DG and its contribution to the wider strategic goals of the EP. Furthermore, it includes the definition of the DG's programmes and project portfolio in line with the stated strategic goals.
 
3.Contribute to the setting up of the EP's multi-annual budgetary plan and its annual review and potential adjustment.",Alignment with business,Mutually align and integrate IT and business strategic plans. Determine the IT strategy's contribution to business objectives. Influence the formation of the business strategy regarding the use of technology-enabled solutions to overcome business challenges. e.g. ENAR Unit is consolidating across all DG ITEC Units the link between Unit objectives and ITE strategic orientations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,"The Planning capability is concerned with the creation of the organisational vision, mission and strategic objectives and the necessary  strategic and operational plans to achieve the desired strategic direction. ",Strategic Planning,"The Strategic Planning capability is the ability to:
 
1. Debate and agree at managerial level on the specific ideation, nature and vision of the DG as a specific contributor to the EP Administration's common general purpose, goals and strategies. ""What does this common purpose, identity and intention mean for us? How does it challenge us to change?"" 
 
2. Define the strategic goals of the DG and its contribution to the wider strategic goals of the EP. Furthermore, it includes the definition of the DG's programmes and project portfolio in line with the stated strategic goals.
 
3.Contribute to the setting up of the EP's multi-annual budgetary plan and its annual review and potential adjustment.",IT Vision and Principles,"Formulate the long-term scope and objectives for IT value generation (IT vision), and create high-level guidelines for deploying technology-enabled services (IT design principles). e.g. ENAR Unit respectively BAAR service have been defining the enterprise architecture guiding principles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,"The Planning capability is concerned with the creation of the organisational vision, mission and strategic objectives and the necessary  strategic and operational plans to achieve the desired strategic direction. ",Strategic Planning,"The Strategic Planning capability is the ability to:
 
1. Debate and agree at managerial level on the specific ideation, nature and vision of the DG as a specific contributor to the EP Administration's common general purpose, goals and strategies. ""What does this common purpose, identity and intention mean for us? How does it challenge us to change?"" 
 
2. Define the strategic goals of the DG and its contribution to the wider strategic goals of the EP. Furthermore, it includes the definition of the DG's programmes and project portfolio in line with the stated strategic goals.
 
3.Contribute to the setting up of the EP's multi-annual budgetary plan and its annual review and potential adjustment.",Plan Development,"Translate the selected strategic options into an approved strategic plan, encompassing high-level IT goals, programmes, timeframes, manpower planning, skills development, and long-range technology planning. Outline programme ownership, business goals, business value/benefits, and an outline business case at the programme level. e.g. 1. APC Unit is involved in planning and coordinating actions on the Cloud Roadmap; e.g. 2. Cloud Unit is invovled in translating the strategic options into specific programmes and projects that go into the SEF. Some of them include physical infrastructures that the EP needs to manage. Some others include the adaptation of services provided by external provides SAAS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,"The Planning capability is concerned with the creation of the organisational vision, mission and strategic objectives and the necessary  strategic and operational plans to achieve the desired strategic direction. ",Strategic Planning,"The Strategic Planning capability is the ability to:
 
1. Debate and agree at managerial level on the specific ideation, nature and vision of the DG as a specific contributor to the EP Administration's common general purpose, goals and strategies. ""What does this common purpose, identity and intention mean for us? How does it challenge us to change?"" 
 
2. Define the strategic goals of the DG and its contribution to the wider strategic goals of the EP. Furthermore, it includes the definition of the DG's programmes and project portfolio in line with the stated strategic goals.
 
3.Contribute to the setting up of the EP's multi-annual budgetary plan and its annual review and potential adjustment.",Related Planning Processes,"Align and integrate IT strategic planning with relevant IT and business planning processes, such as budget and operational planning, resource allocation, business planning, and performance measurements.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,"The Planning capability is concerned with the creation of the organisational vision, mission and strategic objectives and the necessary  strategic and operational plans to achieve the desired strategic direction. ",Strategic Planning,"The Strategic Planning capability is the ability to:
 
1. Debate and agree at managerial level on the specific ideation, nature and vision of the DG as a specific contributor to the EP Administration's common general purpose, goals and strategies. ""What does this common purpose, identity and intention mean for us? How does it challenge us to change?"" 
 
2. Define the strategic goals of the DG and its contribution to the wider strategic goals of the EP. Furthermore, it includes the definition of the DG's programmes and project portfolio in line with the stated strategic goals.
 
3.Contribute to the setting up of the EP's multi-annual budgetary plan and its annual review and potential adjustment.",Resourcing,"Allocate and coordinate roles, responsibilities, accountabilities, and resources for the IT strategic planning function",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,"The Planning capability is concerned with the creation of the organisational vision, mission and strategic objectives and the necessary  strategic and operational plans to achieve the desired strategic direction. ",Strategic Planning,"The Strategic Planning capability is the ability to:
 
1. Debate and agree at managerial level on the specific ideation, nature and vision of the DG as a specific contributor to the EP Administration's common general purpose, goals and strategies. ""What does this common purpose, identity and intention mean for us? How does it challenge us to change?"" 
 
2. Define the strategic goals of the DG and its contribution to the wider strategic goals of the EP. Furthermore, it includes the definition of the DG's programmes and project portfolio in line with the stated strategic goals.
 
3.Contribute to the setting up of the EP's multi-annual budgetary plan and its annual review and potential adjustment.",Stakeholder Management and Communication,"Communicate all aspects of IT strategic planning with stakeholders, including key individuals in the IT function, and business unit heads. Manage stakeholder expectations, engagement, and sponsorship.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,"The Planning capability is concerned with the creation of the organisational vision, mission and strategic objectives and the necessary  strategic and operational plans to achieve the desired strategic direction. ",Strategic Planning,"The Strategic Planning capability is the ability to:
 
1. Debate and agree at managerial level on the specific ideation, nature and vision of the DG as a specific contributor to the EP Administration's common general purpose, goals and strategies. ""What does this common purpose, identity and intention mean for us? How does it challenge us to change?"" 
 
2. Define the strategic goals of the DG and its contribution to the wider strategic goals of the EP. Furthermore, it includes the definition of the DG's programmes and project portfolio in line with the stated strategic goals.
 
3.Contribute to the setting up of the EP's multi-annual budgetary plan and its annual review and potential adjustment.",Strategic Options,"Identify challenges and opportunities in the IT function and other business units, where IT can enhance performance. Identify options for action, and evaluate, prioritize, and select these options based on their potential contribution to business value . e.g.1. APC Unit is contributing to the selection of strategic options in the scope of the Cloud Roadmap; e.g. 2:  Cloud Unit is involved in the strategic planning for infrastrcture services such as video-conference, telephony, cloud, etc). The strategy is often translated into specific programmes and projects that go into the SEF. Some of them include physical infrastructures that the EP needs to manage. Some others include the adaptation of services provided by external provides SAAS. e.g. ENAR is supporting DG ITEC´s vision formulation and helps breaking it down into an action plan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,"The Planning capability is concerned with the creation of the organisational vision, mission and strategic objectives and the necessary  strategic and operational plans to achieve the desired strategic direction. ",Strategic Planning,"The Strategic Planning capability is the ability to:
 
1. Debate and agree at managerial level on the specific ideation, nature and vision of the DG as a specific contributor to the EP Administration's common general purpose, goals and strategies. ""What does this common purpose, identity and intention mean for us? How does it challenge us to change?"" 
 
2. Define the strategic goals of the DG and its contribution to the wider strategic goals of the EP. Furthermore, it includes the definition of the DG's programmes and project portfolio in line with the stated strategic goals.
 
3.Contribute to the setting up of the EP's multi-annual budgetary plan and its annual review and potential adjustment.",Tracking and Evaluation,"Assess the extent to which strategic targets are being achieved. Review all relevant programmes using qualitative and quantitative measures (such as satisfaction surveys, programme progress, and KPIs), and generate input for strategy reviews.e.g. APC Unit is involved in tracking progress across various actions part of the Cloud Roadmap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,"The Security capability is the ability of the European Parliament to enable the smooth running of its activities whilst ensuring the protection of people, infrastructure and information. ",Enterprise Risk Management,Contribution of CISO/SECRISK to EP ERM Framework and Risk Register,Enterprise Risk Management Framework,Create and maintain  the Enterprise Risk Management Framework for DG ITEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,"The Security capability is the ability of the European Parliament to enable the smooth running of its activities whilst ensuring the protection of people, infrastructure and information. ",Enterprise Risk Management,Contribution of CISO/SECRISK to EP ERM Framework and Risk Register,Enterprise Risk Register,Maintain a Risk Register within DG ITEC and contribute to EP ERRegister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,"The Security capability is the ability of the European Parliament to enable the smooth running of its activities whilst ensuring the protection of people, infrastructure and information. ",Enterprise Risk Management,Contribution of CISO/SECRISK to EP ERM Framework and Risk Register,Enterprise Risk Reporting,Monitor and report on Risks at the DG ITEC level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,"The Security capability is the ability of the European Parliament to enable the smooth running of its activities whilst ensuring the protection of people, infrastructure and information. ",ICT Risk Management,"The Risk Management (RM) capability is the ability to identify, assess, prioritize, treat, and monitor the exposure to and the potential impact of IT-related risks that can directly affect the business. Risks include traditional IT risks and those more specific to the transformational changes brought about by new and emerging technologies; they include those mainly associated with IT security, data protection and information privacy, business operations, continuity of business and recovery from declared disasters, IT investment and project/service delivery, and IT service contracts and suppliers.
 
CISO contributes to EP Risk Register and owns the ITEC RR.",Assessment,"Identify subject matter experts (SMEs) for risk assessments. Run risk assessments to identify, document, evaluate exposure to, and quantify/score risks and their components. Record the results in a risk register.
 
CISO contributes for DG ITEC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,"The Security capability is the ability of the European Parliament to enable the smooth running of its activities whilst ensuring the protection of people, infrastructure and information. ",ICT Risk Management,"The Risk Management (RM) capability is the ability to identify, assess, prioritize, treat, and monitor the exposure to and the potential impact of IT-related risks that can directly affect the business. Risks include traditional IT risks and those more specific to the transformational changes brought about by new and emerging technologies; they include those mainly associated with IT security, data protection and information privacy, business operations, continuity of business and recovery from declared disasters, IT investment and project/service delivery, and IT service contracts and suppliers.
 
CISO contributes to EP Risk Register and owns the ITEC RR.",Communication and Performance Reporting,"
Inform stakeholders of key developments (e.g. objectives, policies, approaches, activities, risks, and outcomes) to build a shared understanding of how they can contribute to the realization of risk management objectives. Report on the effectiveness/efficiency of the risk principles, policies, controls, strategy, and activities.
 
CISO contributes for the EP (present, trainings for MEPs etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,"The Security capability is the ability of the European Parliament to enable the smooth running of its activities whilst ensuring the protection of people, infrastructure and information. ",ICT Risk Management,"The Risk Management (RM) capability is the ability to identify, assess, prioritize, treat, and monitor the exposure to and the potential impact of IT-related risks that can directly affect the business. Risks include traditional IT risks and those more specific to the transformational changes brought about by new and emerging technologies; they include those mainly associated with IT security, data protection and information privacy, business operations, continuity of business and recovery from declared disasters, IT investment and project/service delivery, and IT service contracts and suppliers.
 
CISO contributes to EP Risk Register and owns the ITEC RR.",Culture and Stakeholder Management,"Establish a risk aware culture. Motivate and secure stakeholder support, buy-in, and ownership of key risk management initiatives.
 
CISO contributes for the EP (present, trainings for MEPs etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,"The Security capability is the ability of the European Parliament to enable the smooth running of its activities whilst ensuring the protection of people, infrastructure and information. ",ICT Risk Management,"The Risk Management (RM) capability is the ability to identify, assess, prioritize, treat, and monitor the exposure to and the potential impact of IT-related risks that can directly affect the business. Risks include traditional IT risks and those more specific to the transformational changes brought about by new and emerging technologies; they include those mainly associated with IT security, data protection and information privacy, business operations, continuity of business and recovery from declared disasters, IT investment and project/service delivery, and IT service contracts and suppliers.
 
CISO contributes to EP Risk Register and owns the ITEC RR.",Governance Structures,"
Establish risk management governance structures. Outline the composition and scope of risk management governance bodies, decision rights, and authorization. Identify and establish reporting arrangements, issue escalation protocols, roles in complying with obligations and overseeing governance activities, and rules to govern and control the application of risk management authority within the organization.
 
CISO contributes for DG ITEC + Risk Crisis and Business Continuity Unit (SG)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,"The Security capability is the ability of the European Parliament to enable the smooth running of its activities whilst ensuring the protection of people, infrastructure and information. ",ICT Risk Management,"The Risk Management (RM) capability is the ability to identify, assess, prioritize, treat, and monitor the exposure to and the potential impact of IT-related risks that can directly affect the business. Risks include traditional IT risks and those more specific to the transformational changes brought about by new and emerging technologies; they include those mainly associated with IT security, data protection and information privacy, business operations, continuity of business and recovery from declared disasters, IT investment and project/service delivery, and IT service contracts and suppliers.
 
CISO contributes to EP Risk Register and owns the ITEC RR.",Integration,"Integrate IT risk management with digital leadership and governance structures, and with overall Enterprise Risk Management (ERM) policies and approaches.
 
CISO contributes for DG ITEC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,"The Security capability is the ability of the European Parliament to enable the smooth running of its activities whilst ensuring the protection of people, infrastructure and information. ",ICT Risk Management,"The Risk Management (RM) capability is the ability to identify, assess, prioritize, treat, and monitor the exposure to and the potential impact of IT-related risks that can directly affect the business. Risks include traditional IT risks and those more specific to the transformational changes brought about by new and emerging technologies; they include those mainly associated with IT security, data protection and information privacy, business operations, continuity of business and recovery from declared disasters, IT investment and project/service delivery, and IT service contracts and suppliers.
 
CISO contributes to EP Risk Register and owns the ITEC RR.",Prioritization,"Prioritize inherent and residual risks and risk response/treatment strategies, based on the organization's risk tolerance — that is, the risk levels that are acceptable to the organization.
 
CISO contributes for DG ITEC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,"The Security capability is the ability of the European Parliament to enable the smooth running of its activities whilst ensuring the protection of people, infrastructure and information. ",ICT Risk Management,"The Risk Management (RM) capability is the ability to identify, assess, prioritize, treat, and monitor the exposure to and the potential impact of IT-related risks that can directly affect the business. Risks include traditional IT risks and those more specific to the transformational changes brought about by new and emerging technologies; they include those mainly associated with IT security, data protection and information privacy, business operations, continuity of business and recovery from declared disasters, IT investment and project/service delivery, and IT service contracts and suppliers.
 
CISO contributes to EP Risk Register and owns the ITEC RR.",Response/Treatment,"Assign ownership to prioritized risks, and assign responsibility and accountability for developing risk response/treatment strategies. Initiate implementation of risk response/treatment strategies, where risks can be avoided, accepted, mitigated, or transferred. Interact with incident management functions.
 
CISO contributes for DG ITEC, EP (Risk Register + Vulnerability Management Platform)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,"The Security capability is the ability of the European Parliament to enable the smooth running of its activities whilst ensuring the protection of people, infrastructure and information. ",ICT Risk Management,"The Risk Management (RM) capability is the ability to identify, assess, prioritize, treat, and monitor the exposure to and the potential impact of IT-related risks that can directly affect the business. Risks include traditional IT risks and those more specific to the transformational changes brought about by new and emerging technologies; they include those mainly associated with IT security, data protection and information privacy, business operations, continuity of business and recovery from declared disasters, IT investment and project/service delivery, and IT service contracts and suppliers.
 
CISO contributes to EP Risk Register and owns the ITEC RR.",Risk Coverage,"Establish the breadth of risk categories and asset classes that are addressed by risk management activities.
 
CISO contributes for DG ITEC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,"The Security capability is the ability of the European Parliament to enable the smooth running of its activities whilst ensuring the protection of people, infrastructure and information. ",ICT Risk Management,"The Risk Management (RM) capability is the ability to identify, assess, prioritize, treat, and monitor the exposure to and the potential impact of IT-related risks that can directly affect the business. Risks include traditional IT risks and those more specific to the transformational changes brought about by new and emerging technologies; they include those mainly associated with IT security, data protection and information privacy, business operations, continuity of business and recovery from declared disasters, IT investment and project/service delivery, and IT service contracts and suppliers.
 
CISO contributes to EP Risk Register and owns the ITEC RR.",Risk Management Principles and Policies,"
Define the principles that underpin the organization's approach to risk management. Define, review, make accessible, and comply with risk management policies.
 
CISO contributes for DG ITEC + Risk Crisis and Business Continuity Unit (SG)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,"The Security capability is the ability of the European Parliament to enable the smooth running of its activities whilst ensuring the protection of people, infrastructure and information. ",ICT Risk Management,"The Risk Management (RM) capability is the ability to identify, assess, prioritize, treat, and monitor the exposure to and the potential impact of IT-related risks that can directly affect the business. Risks include traditional IT risks and those more specific to the transformational changes brought about by new and emerging technologies; they include those mainly associated with IT security, data protection and information privacy, business operations, continuity of business and recovery from declared disasters, IT investment and project/service delivery, and IT service contracts and suppliers.
 
CISO contributes to EP Risk Register and owns the ITEC RR.",Risk Management Programme,"Provide leadership direction in relation to the risk management programme and the organization's risk appetite and risk tolerance. Establish and maintain a plan/strategy that outlines the scope and overall approach of the risk management effort. 
 
CISO contributes for DG ITEC + Risk Crisis and Business Continuity Unit (SG)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,"The Security capability is the ability of the European Parliament to enable the smooth running of its activities whilst ensuring the protection of people, infrastructure and information. ",ICT Risk Management,"The Risk Management (RM) capability is the ability to identify, assess, prioritize, treat, and monitor the exposure to and the potential impact of IT-related risks that can directly affect the business. Risks include traditional IT risks and those more specific to the transformational changes brought about by new and emerging technologies; they include those mainly associated with IT security, data protection and information privacy, business operations, continuity of business and recovery from declared disasters, IT investment and project/service delivery, and IT service contracts and suppliers.
 
CISO contributes to EP Risk Register and owns the ITEC RR.",Risk Monitoring,"Track identified risks, and validate the effectiveness of the risk treatment strategies.
 
CISO contributes for DG ITEC, EP (Risk Register + Vulnerability Management Platform)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,"The Security capability is the ability of the European Parliament to enable the smooth running of its activities whilst ensuring the protection of people, infrastructure and information. ",ICT Risk Management,"The Risk Management (RM) capability is the ability to identify, assess, prioritize, treat, and monitor the exposure to and the potential impact of IT-related risks that can directly affect the business. Risks include traditional IT risks and those more specific to the transformational changes brought about by new and emerging technologies; they include those mainly associated with IT security, data protection and information privacy, business operations, continuity of business and recovery from declared disasters, IT investment and project/service delivery, and IT service contracts and suppliers.
 
CISO contributes to EP Risk Register and owns the ITEC RR.",Risk Profile Definition,"Define the IT-related risk profiles by their potential impact on business continuity and performance, and apply them in risk management activities. The risk profile is the description of the overall (identified) IT risks and risk attributes that an organization may be exposed to.
 
CISO contributes for DG ITEC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,"The Security capability is the ability of the European Parliament to enable the smooth running of its activities whilst ensuring the protection of people, infrastructure and information. ",ICT Risk Management,"The Risk Management (RM) capability is the ability to identify, assess, prioritize, treat, and monitor the exposure to and the potential impact of IT-related risks that can directly affect the business. Risks include traditional IT risks and those more specific to the transformational changes brought about by new and emerging technologies; they include those mainly associated with IT security, data protection and information privacy, business operations, continuity of business and recovery from declared disasters, IT investment and project/service delivery, and IT service contracts and suppliers.
 
CISO contributes to EP Risk Register and owns the ITEC RR.","RM Roles, Responsibilities, and Accountabilities","Complete job and business process designs to identify the required roles for risk management tasks, and assign employees with the requisite knowledge and experience to the identified roles. Define and allocate the associated responsibilities and assign accountabilities to those who will be answerable for the achievement of risk management objectives.
 
CISO contributes for EP - Cybersecurity Profiles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,"The Security capability is the ability of the European Parliament to enable the smooth running of its activities whilst ensuring the protection of people, infrastructure and information. ",ICT Risk Management,"The Risk Management (RM) capability is the ability to identify, assess, prioritize, treat, and monitor the exposure to and the potential impact of IT-related risks that can directly affect the business. Risks include traditional IT risks and those more specific to the transformational changes brought about by new and emerging technologies; they include those mainly associated with IT security, data protection and information privacy, business operations, continuity of business and recovery from declared disasters, IT investment and project/service delivery, and IT service contracts and suppliers.
 
CISO contributes to EP Risk Register and owns the ITEC RR.",RM Skills and Competence Development,"Establish and make available a risk management training curriculum and other employee development mechanisms to enhance skills and competences. Record employee participation in risk management training and development initiatives, and recognise and acknowledge their achievements (e.g. courses completed, certifications, skills and competence levels acquired).
 
Realized by DIRES Training and HR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
